client_id,round_number,hierarchy,num_samples,bytes_written,bytes_read,local_computations
MissTonix,0,,4,160696344,160696344,3220285240
ToksieOlu,0,,4,160696344,160696344,3220285240
kissability,1,,5,160696344,160696344,3220285240
dressjunkie,1,,5,160696344,160696344,3220285240
ericbutcher,2,,5,160696344,160696344,4025356550
LadyErlynne,2,,4,160696344,160696344,2415213930
BSBSavedMyLife,3,,4,160696344,160696344,2415213930
ashleigh92,3,,4,160696344,160696344,2415213930
redchinese19,4,,6,160696344,160696344,4025356550
KaraSaysSo,4,,4,160696344,160696344,3220285240
Jodestarxx,5,,4,160696344,160696344,2415213930
ashleeadams,5,,4,160696344,160696344,3220285240
Mum_of_Six,6,,5,160696344,160696344,4025356550
jerryfetus,6,,7,160696344,160696344,4830427860
KiSHEZ,7,,4,160696344,160696344,3220285240
KComer,7,,6,160696344,160696344,4025356550
charlief,8,,4,160696344,160696344,2415213930
mr_billiam,8,,7,160696344,160696344,4830427860
deathangel3030,9,,4,160696344,160696344,2415213930
Rachecullen,9,,4,160696344,160696344,2415213930
