client_id,round_number,hierarchy,num_samples,bytes_written,bytes_read,local_computations
ladylogan,0,,4,160696344,160696344,3220285240
alymcintyre,0,,2,160696344,160696344,1610142620
jessiee2,1,,2,160696344,160696344,1610142620
nahnah513,1,,2,160696344,160696344,1610142620
CHAELABUG,2,,2,160696344,160696344,805071310
ninthspace,2,,4,160696344,160696344,3220285240
prismkitty,3,,2,160696344,160696344,1610142620
jacoutofthebox,3,,2,160696344,160696344,1610142620
V_A_,4,,2,160696344,160696344,1610142620
apizzagirl,4,,2,160696344,160696344,1610142620
Spacefrog29,5,,2,160696344,160696344,1610142620
MelOhSoRetro,5,,3,160696344,160696344,2415213930
trswift,6,,2,160696344,160696344,1610142620
Jamash,6,,9,160696344,160696344,6440570480
ChoclateCtyDiva,7,,3,160696344,160696344,1610142620
alexandramarieb,7,,3,160696344,160696344,1610142620
addQin,8,,2,160696344,160696344,1610142620
hubbit,8,,2,160696344,160696344,1610142620
nicole_b86,9,,5,160696344,160696344,3220285240
girlpiper,9,,5,160696344,160696344,4025356550
