client_id,round_number,hierarchy,num_samples,accuracy
9,0,,82,0.0
32,0,,175,0.005714285714285714
26,0,,77,0.012987012987012988
23,0,,84,0.0
28,0,,85,0.047058823529411764
21,0,,134,0.0
1,0,,134,0.007462686567164179
33,0,,177,0.005649717514124294
31,0,,75,0.013333333333333334
12,0,,84,0.0
13,0,,77,0.012987012987012988
15,0,,75,0.0
5,0,,86,0.0
6,0,,134,0.007462686567164179
20,0,,165,0.024242424242424242
30,0,,161,0.006211180124223602
29,0,,87,0.022988505747126436
16,0,,173,0.005780346820809248
10,0,,85,0.023529411764705882
19,0,,74,0.02702702702702703
25,0,,174,0.0
7,0,,138,0.007246376811594203
22,0,,83,0.012048192771084338
34,0,,143,0.006993006993006993
18,0,,85,0.011764705882352941
14,0,,176,0.0
17,0,,161,0.0
24,0,,84,0.0
27,0,,84,0.0
11,0,,87,0.022988505747126436
3,0,,75,0.013333333333333334
4,0,,168,0.0
8,0,,163,0.006134969325153374
2,0,,87,0.011494252873563218
0,0,,86,0.011627906976744186
9,19,,82,0.12195121951219512
32,19,,175,0.03428571428571429
26,19,,77,0.11688311688311688
23,19,,84,0.13095238095238096
28,19,,85,0.08235294117647059
21,19,,134,0.05970149253731343
1,19,,134,0.06716417910447761
33,19,,177,0.022598870056497175
31,19,,75,0.12
12,19,,84,0.07142857142857142
13,19,,77,0.11688311688311688
15,19,,75,0.12
5,19,,86,0.11627906976744186
6,19,,134,0.06716417910447761
20,19,,165,0.048484848484848485
30,19,,161,0.037267080745341616
29,19,,87,0.11494252873563218
16,19,,173,0.0
10,19,,85,0.11764705882352941
19,19,,74,0.06756756756756757
25,19,,174,0.034482758620689655
7,19,,138,0.036231884057971016
22,19,,83,0.07228915662650602
34,19,,143,0.0979020979020979
18,19,,85,0.1411764705882353
14,19,,176,0.05113636363636364
17,19,,161,0.043478260869565216
24,19,,84,0.07142857142857142
27,19,,84,0.14285714285714285
11,19,,87,0.09195402298850575
3,19,,75,0.10666666666666667
4,19,,168,0.047619047619047616
8,19,,163,0.10429447852760736
2,19,,87,0.12643678160919541
0,19,,86,0.08139534883720931
9,39,,82,0.13414634146341464
32,39,,175,0.06285714285714286
26,39,,77,0.16883116883116883
23,39,,84,0.15476190476190477
28,39,,85,0.09411764705882353
21,39,,134,0.08208955223880597
1,39,,134,0.07462686567164178
33,39,,177,0.03954802259887006
31,39,,75,0.16
12,39,,84,0.07142857142857142
13,39,,77,0.14285714285714285
15,39,,75,0.13333333333333333
5,39,,86,0.16279069767441862
6,39,,134,0.06716417910447761
20,39,,165,0.06060606060606061
30,39,,161,0.06832298136645963
29,39,,87,0.11494252873563218
16,39,,173,0.017341040462427744
10,39,,85,0.12941176470588237
19,39,,74,0.04054054054054054
25,39,,174,0.06321839080459771
7,39,,138,0.057971014492753624
22,39,,83,0.08433734939759036
34,39,,143,0.0979020979020979
18,39,,85,0.12941176470588237
14,39,,176,0.06818181818181818
17,39,,161,0.043478260869565216
24,39,,84,0.08333333333333333
27,39,,84,0.13095238095238096
11,39,,87,0.11494252873563218
3,39,,75,0.14666666666666667
4,39,,168,0.05952380952380952
8,39,,163,0.1165644171779141
2,39,,87,0.16091954022988506
0,39,,86,0.11627906976744186
9,59,,82,0.17073170731707318
32,59,,175,0.08
26,59,,77,0.22077922077922077
23,59,,84,0.25
28,59,,85,0.1411764705882353
21,59,,134,0.1417910447761194
1,59,,134,0.12686567164179105
33,59,,177,0.05649717514124294
31,59,,75,0.25333333333333335
12,59,,84,0.11904761904761904
13,59,,77,0.2077922077922078
15,59,,75,0.18666666666666668
5,59,,86,0.2558139534883721
6,59,,134,0.12686567164179105
20,59,,165,0.10303030303030303
30,59,,161,0.11801242236024845
29,59,,87,0.20689655172413793
16,59,,173,0.046242774566473986
10,59,,85,0.2
19,59,,74,0.13513513513513514
25,59,,174,0.09195402298850575
7,59,,138,0.10144927536231885
22,59,,83,0.12048192771084337
34,59,,143,0.15384615384615385
18,59,,85,0.21176470588235294
14,59,,176,0.10227272727272728
17,59,,161,0.06832298136645963
24,59,,84,0.11904761904761904
27,59,,84,0.2619047619047619
11,59,,87,0.2413793103448276
3,59,,75,0.21333333333333335
4,59,,168,0.07738095238095238
8,59,,163,0.147239263803681
2,59,,87,0.21839080459770116
0,59,,86,0.1744186046511628
9,79,,82,0.15853658536585366
32,79,,175,0.07428571428571429
26,79,,77,0.18181818181818182
23,79,,84,0.20238095238095238
28,79,,85,0.16470588235294117
21,79,,134,0.1417910447761194
1,79,,134,0.08955223880597014
33,79,,177,0.10734463276836158
31,79,,75,0.2
12,79,,84,0.15476190476190477
13,79,,77,0.2077922077922078
15,79,,75,0.08
5,79,,86,0.22093023255813954
6,79,,134,0.11940298507462686
20,79,,165,0.08484848484848485
30,79,,161,0.13664596273291926
29,79,,87,0.13793103448275862
16,79,,173,0.11560693641618497
10,79,,85,0.24705882352941178
19,79,,74,0.17567567567567569
25,79,,174,0.08620689655172414
7,79,,138,0.13043478260869565
22,79,,83,0.20481927710843373
34,79,,143,0.1048951048951049
18,79,,85,0.16470588235294117
14,79,,176,0.06818181818181818
17,79,,161,0.07453416149068323
24,79,,84,0.19047619047619047
27,79,,84,0.21428571428571427
11,79,,87,0.20689655172413793
3,79,,75,0.21333333333333335
4,79,,168,0.08928571428571429
8,79,,163,0.08588957055214724
2,79,,87,0.19540229885057472
0,79,,86,0.2558139534883721
9,99,,82,0.14634146341463414
32,99,,175,0.07428571428571429
26,99,,77,0.05194805194805195
23,99,,84,0.21428571428571427
28,99,,85,0.17647058823529413
21,99,,134,0.09701492537313433
1,99,,134,0.06716417910447761
33,99,,177,0.07344632768361582
31,99,,75,0.16
12,99,,84,0.20238095238095238
13,99,,77,0.14285714285714285
15,99,,75,0.14666666666666667
5,99,,86,0.18604651162790697
6,99,,134,0.05223880597014925
20,99,,165,0.09696969696969697
30,99,,161,0.062111801242236024
29,99,,87,0.26436781609195403
16,99,,173,0.06358381502890173
10,99,,85,0.11764705882352941
