client_id,round_number,hierarchy,num_samples,bytes_written,bytes_read,local_computations
XoGraceoX,0,,3,160696344,160696344,1610142620
jesswillx,0,,1,160696344,160696344,805071310
Rain22,1,,1,160696344,160696344,805071310
asasin09,1,,1,160696344,160696344,805071310
GraceBurns,2,,1,160696344,160696344,805071310
Ewoodite,2,,2,160696344,160696344,1610142620
sinbaddylad,3,,1,160696344,160696344,805071310
andy_wijaya,3,,1,160696344,160696344,805071310
Deva09IAME,4,,1,160696344,160696344,805071310
johncarnell,4,,1,160696344,160696344,805071310
pmeds,5,,2,160696344,160696344,1610142620
AnnaAura,5,,1,160696344,160696344,805071310
Hakicoma,6,,1,160696344,160696344,805071310
kimmy_gurl_33,6,,1,160696344,160696344,805071310
mrspennyapple,7,,1,160696344,160696344,805071310
IsyScandalous,7,,1,160696344,160696344,805071310
timheuer,8,,1,160696344,160696344,805071310
Paneab,8,,1,160696344,160696344,805071310
mstevenson83,9,,1,160696344,160696344,805071310
MissBenben,9,,1,160696344,160696344,805071310
