client_id,round_number,hierarchy,num_samples,bytes_written,bytes_read,local_computations
f3791_09,522,,17,26414840,26414840,1980453150
f1879_44,522,,15,26414840,26414840,1848422940
f3545_06,522,,16,26414840,26414840,1980453150
f2419_83,523,,18,26414840,26414840,2112483360
f3660_26,523,,16,26414840,26414840,1980453150
f0401_11,523,,41,26414840,26414840,4885117770
f2019_34,524,,17,26414840,26414840,1980453150
f2403_71,524,,17,26414840,26414840,1980453150
f1215_02,524,,38,26414840,26414840,4489027140
f0332_15,525,,40,26414840,26414840,4753087560
f1729_47,525,,17,26414840,26414840,2112483360
f3829_26,525,,17,26414840,26414840,2112483360
f0323_17,526,,33,26414840,26414840,3960906300
f1222_04,526,,30,26414840,26414840,3564815670
f2406_72,526,,19,26414840,26414840,2244513570
f2531_92,527,,18,26414840,26414840,2112483360
f3852_32,527,,18,26414840,26414840,2112483360
f2095_37,527,,11,26414840,26414840,1320302100
f0097_05,528,,36,26414840,26414840,4224966720
f3965_14,528,,17,26414840,26414840,1980453150
f1900_12,528,,17,26414840,26414840,2112483360
f0490_13,529,,33,26414840,26414840,3828876090
f1509_45,529,,13,26414840,26414840,1452332310
f3518_46,529,,19,26414840,26414840,2244513570
f0055_09,530,,38,26414840,26414840,4489027140
f1516_46,530,,16,26414840,26414840,1848422940
f0030_12,530,,29,26414840,26414840,3432785460
f0157_12,531,,38,26414840,26414840,4489027140
f0233_14,531,,34,26414840,26414840,3960906300
f1821_24,531,,17,26414840,26414840,1980453150
f0897_19,532,,26,26414840,26414840,3036694830
f0321_36,532,,39,26414840,26414840,4621057350
f1331_49,532,,22,26414840,26414840,2640604200
f0019_38,533,,38,26414840,26414840,4489027140
f3175_03,533,,15,26414840,26414840,1848422940
f0447_21,533,,24,26414840,26414840,2772634410
f2255_70,534,,19,26414840,26414840,2244513570
f2258_85,534,,18,26414840,26414840,2244513570
f3303_31,534,,18,26414840,26414840,2244513570
f3751_39,535,,18,26414840,26414840,2244513570
f1988_11,535,,16,26414840,26414840,1848422940
f1647_28,535,,18,26414840,26414840,2112483360
f0878_21,536,,38,26414840,26414840,4489027140
f1909_43,536,,14,26414840,26414840,1716392730
f0304_23,536,,38,26414840,26414840,4489027140
f2291_65,537,,19,26414840,26414840,2244513570
f1702_13,537,,18,26414840,26414840,2112483360
f3888_32,537,,15,26414840,26414840,1848422940
f4094_49,538,,15,26414840,26414840,1716392730
f1904_33,538,,16,26414840,26414840,1980453150
f3560_17,538,,18,26414840,26414840,2244513570
f1338_02,539,,35,26414840,26414840,4224966720
f1128_24,539,,18,26414840,26414840,2244513570
f3688_07,539,,17,26414840,26414840,2112483360
f1504_10,540,,15,26414840,26414840,1848422940
f3158_03,540,,18,26414840,26414840,2244513570
f4067_23,540,,19,26414840,26414840,2244513570
f2216_66,541,,18,26414840,26414840,2112483360
f0478_10,541,,35,26414840,26414840,4224966720
f1599_48,541,,15,26414840,26414840,1848422940
f0193_48,542,,32,26414840,26414840,3828876090
f2238_86,542,,17,26414840,26414840,1980453150
f1797_27,542,,15,26414840,26414840,1848422940
f0740_43,543,,18,26414840,26414840,2112483360
f0161_16,543,,42,26414840,26414840,5017147980
f3578_27,543,,19,26414840,26414840,2244513570
f1019_45,544,,27,26414840,26414840,3168725040
f0347_04,544,,42,26414840,26414840,5017147980
f1577_15,544,,16,26414840,26414840,1980453150
f0689_06,545,,27,26414840,26414840,3300755250
f1159_29,545,,19,26414840,26414840,2376543780
f1009_29,545,,27,26414840,26414840,3168725040
f1919_17,546,,11,26414840,26414840,1320302100
f1280_21,546,,10,26414840,26414840,1188271890
f0780_06,546,,29,26414840,26414840,3432785460
f0070_14,547,,44,26414840,26414840,5149178190
f3831_41,547,,18,26414840,26414840,2112483360
f1876_22,547,,13,26414840,26414840,1584362520
f2544_53,548,,17,26414840,26414840,1980453150
f0953_15,548,,27,26414840,26414840,3168725040
f0730_41,548,,37,26414840,26414840,4489027140
f2280_57,549,,17,26414840,26414840,1980453150
