client_id,round_number,hierarchy,num_samples,accuracy
16_MileyCyrus,0,,10,0.6
18percentgrey,0,,6,0.3333333333333333
19c816tf9227,0,,7,0.0
19fischi75,0,,11,0.8181818181818182
2NiteBoy,0,,4,0.5
2emc,0,,5,0.2
30STMluva,0,,5,0.0
3CB,0,,8,0.25
4Hours,0,,4,0.0
4evaurgirl,0,,5,0.2
5toSucceed,0,,11,0.18181818181818182
82kg,0,,4,0.5
ABabyBlueEyes,0,,6,0.16666666666666666
ACRead,0,,4,0.25
AClockworkToad,0,,4,0.0
AJuOnLiNE,0,,4,0.5
AMF7,0,,4,0.75
ANGELJACKIE44,0,,4,0.0
ARoadRetraveled,0,,6,0.3333333333333333
ATsLady,0,,4,0.5
AZBlueEyes,0,,4,0.25
AaL17,0,,4,0.5
AbbieFletcher_,0,,5,0.4
Abbie_xD,0,,4,0.25
Abcmsaj,0,,5,1.0
AberdeenUK,0,,5,0.4
AceMas21,0,,13,0.3076923076923077
AdorkableMellie,0,,4,0.25
AdrienneNycole,0,,4,0.5
AgingBackwards,0,,5,0.0
AimyLeigh,0,,4,0.5
AlOliver,0,,4,1.0
Al_ice,0,,6,0.3333333333333333
AlbertoConde777,0,,5,0.0
AleCherry,0,,4,0.25
AlexLJ,0,,4,0.0
AlexNevamind,0,,4,0.75
AlexTrup,0,,4,0.0
AlexandraMcFLY,0,,4,0.25
AlexisMarie23,0,,5,0.0
AliciaWag,0,,4,0.5
Alicia_vintage,0,,5,0.8
AllTheSausages,0,,4,0.75
AlluringBri,0,,4,0.5
Alska,0,,7,1.0
AlyYvonneG,0,,4,1.0
AlyssaNoelleD,0,,5,0.8
AlyxxDione,0,,6,0.6666666666666666
AmaniBoo,0,,4,0.5
AmberCadabra,0,,4,0.25
Ambershine29,0,,5,0.4
Ames1103,0,,4,0.5
AmyAllTimeLow,0,,5,0.8
AmyJade,0,,4,1.0
AmyPredsfan,0,,5,0.4
AmyStar92,0,,5,0.2
AnalystAlterEgo,0,,4,1.0
AncientSoul,0,,5,0.4
Andjelija,0,,5,1.0
AndyCarolan,0,,4,0.5
AngNewell77,0,,5,0.6
Angel42579,0,,8,0.25
Anime81,0,,13,0.46153846153846156
AnnSue,0,,11,0.0
Anne_A4L,0,,4,0.25
AnniJB,0,,4,0.0
AnnieDAFG,0,,5,0.8
AnotherJulia,0,,6,0.3333333333333333
AnouskaKersten,0,,5,0.6
Applechic,0,,5,0.0
Applecored,0,,9,0.4444444444444444
AprilFilms,0,,6,0.16666666666666666
Arantza92,0,,4,0.5
Arasphere,0,,6,0.16666666666666666
AreonLee,0,,7,0.2857142857142857
Arhum,0,,5,0.4
ArieleMoonfire,0,,5,0.4
Art_Advisor,0,,7,0.0
Arti_Sodmg,0,,4,0.75
ArunBasilLal,0,,7,0.14285714285714285
AshesOfLilies,0,,5,0.2
AshyJonas,0,,7,0.7142857142857143
AsiaBrands,0,,4,0.0
AtlantisJackson,0,,6,0.0
AussieGal999,0,,6,0.16666666666666666
Aussie_MateLC,0,,4,0.25
Austin_Irl,0,,4,0.0
AvonteNikole,0,,5,0.6
Avril4everr,0,,5,0.4
Aw_Re_ya_2_,0,,4,0.25
AyeBloodyRight,0,,4,0.25
Ayla_F,0,,4,1.0
Ayvii,0,,4,0.75
AyyoItsAmandaJo,0,,4,0.25
Azlen,0,,4,0.5
BARACKOKITTY,0,,7,0.2857142857142857
BBRRIITTTTYY,0,,14,0.5714285714285714
BSBSavedMyLife,0,,4,0.0
BW101,0,,7,0.5714285714285714
BabyVanessa093,0,,6,0.16666666666666666
Bambi429,0,,4,0.5
BananasMel,0,,4,0.75
BeantownCutie,0,,7,1.0
BearNoiz,0,,4,0.25
BecReedman,0,,8,0.875
BeckyKingston,0,,12,0.3333333333333333
BecomingBella,0,,4,0.5
BefiBeez,0,,7,0.8571428571428571
Bellaleyla,0,,4,0.5
Ben_Hall,0,,6,0.5
BengeeB,0,,5,0.6
Benjimonicus,0,,4,0.75
BertaWooster,0,,4,0.25
Beyy,0,,7,0.2857142857142857
Bhooshan,0,,5,0.0
Bia_Loves_NKOTB,0,,5,0.2
Billy3G,0,,5,0.6
BiscuitKing,0,,5,0.2
Bizarre57,0,,8,0.125
Bizcuits,0,,9,0.1111111111111111
BleuMuze,0,,4,0.5
BlokesLib,0,,11,0.36363636363636365
BlueEyedGirl18,0,,7,0.2857142857142857
Boddingtons,0,,8,0.25
BonesCrazy24,0,,7,0.2857142857142857
Bopsicle,0,,6,0.3333333333333333
BossTycoonLZ,0,,10,0.6
BostinBloke,0,,5,0.0
Bowl_the_Bunny,0,,7,0.14285714285714285
Boy_Kill_Boy,0,,5,0.4
BrandySanDiego,0,,6,0.8333333333333334
BrandyWandLover,0,,12,0.5833333333333334
BriBri2007,0,,6,0.16666666666666666
BrokenSword,0,,5,0.4
Broooooke_,0,,18,0.3333333333333333
Bruno108,0,,10,0.2
Buildabear96,0,,5,0.0
Bulletplug,0,,4,0.5
ByDezin,0,,4,0.25
CC_Cassin,0,,4,0.0
CLAiireex,0,,5,0.8
CSI_PrintChick,0,,5,0.2
CSSVT,0,,4,0.75
CT415,0,,5,0.0
CYNTHIAMUNOZ,0,,4,0.75
C_Joy,0,,11,0.36363636363636365
CanadianJennie,0,,4,0.25
CandyGirl24,0,,4,0.5
CannonGod,0,,5,0.4
Caprica,0,,6,0.5
CaraLikeWhoa,0,,4,0.5
CaraNinaMcfly,0,,12,0.16666666666666666
CarebearJK,0,,4,0.5
CarnellUNYC,0,,4,0.0
CaroMcFly,0,,5,0.4
Cass_fryer,0,,4,1.0
CateP36,0,,8,0.25
CathrynMarie,0,,9,0.4444444444444444
CatiaDestine,0,,4,0.0
Celticpussycat,0,,5,0.8
Celz29,0,,8,0.75
CforrClemmensen,0,,8,0.625
Chad_Lad,0,,9,0.3333333333333333
ChampagneRDub,0,,7,0.7142857142857143
ChantiParnell,0,,5,0.4
CharlotteMarie,0,,6,0.5
CharlotteMcFLY,0,,5,0.6
CharmsOfLight,0,,7,0.0
ChazzyCat,0,,4,0.5
ChellyBum,0,,6,0.3333333333333333
Cherrim,0,,6,0.6666666666666666
Cherye101,0,,5,0.4
CherylH77,0,,10,0.2
Chi_twnzfinest,0,,4,0.25
ChickenStudios,0,,4,0.5
ChineseLearn,0,,4,0.75
ChrisandCal,0,,8,0.375
Chrissyisms,0,,6,0.3333333333333333
Christiegarcia,0,,5,0.2
Christyxcore,0,,4,0.75
Cinnny,0,,5,0.6
Cladia,0,,4,0.75
ClassicSydney,0,,4,0.5
ClassyFreshCool,0,,4,0.75
Cletae,0,,4,0.0
Cloeee,0,,4,0.5
CocaBeenSlinky,0,,9,0.3333333333333333
CoffeebreakDMV,0,,4,0.25
ComedyQueen,0,,13,0.23076923076923078
Commsguy,0,,4,0.0
CoreJas43,0,,4,0.25
