client_id,round_number,hierarchy,num_samples,accuracy
19fischi75,0,,11,0.36363636363636365
5toSucceed,0,,11,1.0
AceMas21,0,,13,1.0
Anime81,0,,13,0.15384615384615385
AnnSue,0,,11,1.0
BBRRIITTTTYY,0,,14,0.5714285714285714
BeckyKingston,0,,12,0.75
BlokesLib,0,,11,0.9090909090909091
BrandyWandLover,0,,12,0.3333333333333333
Broooooke_,0,,18,0.7777777777777778
C_Joy,0,,11,0.6363636363636364
CaraNinaMcfly,0,,12,0.6666666666666666
ComedyQueen,0,,13,0.6153846153846154
DarkPiano,0,,24,0.9166666666666666
Djalfy,0,,19,0.7894736842105263
Dogbook,0,,20,0.4
DonniesGirl69,0,,16,0.5
DsBabyGirl,0,,13,0.6923076923076923
Dutchrudder,0,,19,0.9473684210526315
Gen22,0,,12,1.0
Hollywood_Trey,0,,12,0.5
JBnVFCLover786,0,,17,0.35294117647058826
Jayme1988,0,,23,0.5652173913043478
JennaMadison,0,,13,1.0
JeremyCShipp,0,,14,0.7857142857142857
JessMcFlyxxx,0,,18,0.6666666666666666
Karen230683,0,,24,0.5416666666666666
KevinEdwardsJr,0,,18,1.0
Kikirowr,0,,13,0.15384615384615385
Leanne0710,0,,11,0.18181818181818182
MCRmuffin,0,,12,0.75
MTVnHollyWEST23,0,,18,0.6666666666666666
MandyPandy32,0,,15,0.6666666666666666
MiDesfileNegro,0,,18,0.2222222222222222
Mirna023,0,,13,0.6923076923076923
MissxMarisa,0,,11,0.8181818181818182
MsStaceyK,0,,13,0.38461538461538464
MyAppleStuff,0,,11,0.5454545454545454
NKANGEL74,0,,13,0.38461538461538464
NKArmyTNgirl,0,,13,0.6923076923076923
NathalieCaron,0,,11,0.18181818181818182
QueenBxoxo,0,,11,0.2727272727272727
Quimo,0,,18,0.8333333333333334
SallytheShizzle,0,,29,0.3448275862068966
Samm_xo,0,,12,0.6666666666666666
SarahMorrison,0,,11,0.09090909090909091
SarahSaner,0,,15,0.6
Scyranth,0,,17,1.0
ShesElectric_,0,,14,0.5714285714285714
Shinybiscuit,0,,11,0.36363636363636365
SongoftheOss,0,,23,0.4782608695652174
Spidersamm,0,,21,0.47619047619047616
StDAY,0,,21,0.5714285714285714
TessMorris,0,,16,0.6875
TidyCat,0,,12,1.0
TizBanana,0,,15,0.6
TraceyHewins,0,,22,0.9090909090909091
Tyrone17,0,,15,0.7333333333333333
VioletsCRUK,0,,28,0.7142857142857143
WTFJAY,0,,13,0.9230769230769231
WalkingHorse,0,,13,1.0
Wolfgang_,0,,13,0.46153846153846156
_magic8ball,0,,19,0.21052631578947367
adlyman,0,,12,0.4166666666666667
amysav83,0,,12,0.75
annasaccone,0,,12,0.5833333333333334
aussiemcflyfan,0,,12,0.4166666666666667
baldeggie,0,,14,0.6428571428571429
bigenya,0,,16,0.375
brianwelburn,0,,15,0.5333333333333333
bryancheung,0,,11,0.5454545454545454
caldjr,0,,14,0.9285714285714286
carole29,0,,11,0.45454545454545453
chantellmarie,0,,12,0.6666666666666666
chiniehdiaz,0,,13,0.9230769230769231
cookiemonster82,0,,16,0.8125
danger_skies,0,,11,0.2727272727272727
dontforgetchaos,0,,14,0.21428571428571427
effingcards,0,,11,1.0
enamoredsoul,0,,18,0.7222222222222222
endlessblush,0,,11,0.7272727272727273
fadedmoon,0,,12,0.4166666666666667
feblub,0,,11,0.8181818181818182
felicityfuller,0,,20,0.75
figPYBFO,0,,12,1.0
flamingokitty,0,,11,0.5454545454545454
funkyfairy24,0,,12,0.9166666666666666
gemeg,0,,12,0.4166666666666667
happylovesChuck,0,,12,0.8333333333333334
heykim,0,,13,0.9230769230769231
hilzfuld,0,,11,1.0
hollyalyxfinch,0,,16,0.5
hummingbird604,0,,12,0.75
hypnophil,0,,12,1.0
insearchofnkotb,0,,17,0.7058823529411765
iyaitssuzanne,0,,11,0.5454545454545454
janine_j9,0,,11,0.45454545454545453
jaybranch,0,,15,1.0
jennypoynter,0,,13,0.38461538461538464
jesssicababesss,0,,14,0.7142857142857143
jonas_twilight3,0,,13,0.8461538461538461
joshtastic1,0,,14,0.5
judez_xo,0,,16,0.4375
karinb_za,0,,17,0.5882352941176471
kasey79,0,,14,0.5
kat_n,0,,12,0.25
keren4562,0,,13,0.38461538461538464
keza34,0,,22,1.0
krist0ph3r,0,,12,0.3333333333333333
ladybug8320,0,,12,0.8333333333333334
leewaters,0,,11,0.7272727272727273
lesley007,0,,16,0.75
linnetwoods,0,,18,0.8333333333333334
longestpoem,0,,12,1.0
lopezwilfred,0,,12,0.8333333333333334
lost_dog,0,,55,0.0
luckygnahhh,0,,12,0.08333333333333333
marco_cali,0,,11,0.6363636363636364
maynaseric,0,,16,0.8125
mcraddictal,0,,28,0.32142857142857145
michxxblc,0,,15,0.7333333333333333
mlexiehayden,0,,11,0.2727272727272727
mp3mad,0,,12,0.8333333333333334
mrs_mcsupergirl,0,,16,0.3125
nuttychris,0,,22,0.5909090909090909
original_one,0,,14,1.0
pato_30stm,0,,11,0.6363636363636364
patriciaco,0,,16,0.6875
paul_steele,0,,16,0.875
pdurham,0,,11,0.9090909090909091
primatage,0,,12,0.8333333333333334
radha_,0,,13,0.8461538461538461
ramdomthoughts,0,,22,0.9545454545454546
redrobinrockn,0,,11,1.0
rgoodchild,0,,15,0.9333333333333333
roxiijonas,0,,15,0.4666666666666667
sebby_peek,0,,11,0.2727272727272727
semipenguin,0,,14,0.42857142857142855
shanajaca,0,,22,0.9545454545454546
sharonhayes,0,,13,0.7692307692307693
shellrawlins,0,,16,0.9375
sprinkles_,0,,11,0.36363636363636365
stevegarufi,0,,13,0.6153846153846154
tallivansunder,0,,14,1.0
thisgoeshere,0,,21,0.6666666666666666
torilovesbradie,0,,19,0.5789473684210527
tsarnick,0,,25,0.84
twebbstack,0,,18,0.6666666666666666
tweeteradder2,0,,12,1.0
tweeteradder7,0,,12,1.0
tweetpet,0,,31,0.0
twishes,0,,11,0.2727272727272727
vacant_heart,0,,15,0.8
vintagepolka,0,,11,0.7272727272727273
webwoke,0,,35,0.3142857142857143
wendywings,0,,11,1.0
what_bugs_u,0,,25,1.0
whitsundays,0,,15,0.8666666666666667
wowlew,0,,22,0.0
wyndwitch,0,,13,0.9230769230769231
x33ieroNINJA,0,,14,0.8571428571428571
19fischi75,1,,11,0.5454545454545454
5toSucceed,1,,11,0.0
AceMas21,1,,13,0.0
Anime81,1,,13,0.9230769230769231
AnnSue,1,,11,0.0
BBRRIITTTTYY,1,,14,0.42857142857142855
BeckyKingston,1,,12,0.25
BlokesLib,1,,11,0.0
BrandyWandLover,1,,12,0.75
Broooooke_,1,,18,0.2777777777777778
C_Joy,1,,11,0.36363636363636365
CaraNinaMcfly,1,,12,0.16666666666666666
ComedyQueen,1,,13,0.38461538461538464
DarkPiano,1,,24,0.08333333333333333
Djalfy,1,,19,0.21052631578947367
Dogbook,1,,20,0.6
DonniesGirl69,1,,16,0.4375
DsBabyGirl,1,,13,0.38461538461538464
Dutchrudder,1,,19,0.0
Gen22,1,,12,0.0
Hollywood_Trey,1,,12,0.5
JBnVFCLover786,1,,17,0.6470588235294118
Jayme1988,1,,23,0.43478260869565216
JennaMadison,1,,13,0.0
JeremyCShipp,1,,14,0.2857142857142857
JessMcFlyxxx,1,,18,0.3333333333333333
Karen230683,1,,24,0.5
KevinEdwardsJr,1,,18,0.0
